,query_id,prediction,answer,validated_answers,f1,exact_match
0,4ef57f34-8c7c-4500-bc1f-2d2512e35523,1944,1943,1943<sv>1943<sv>1943<sv>1943,0.0,0.0
1,0903294b-08fc-4061-937a-44890a55ca78,1944,1943,1943<sv>1943<sv>1943,0.0,0.0
2,7c72066b-f148-4554-8b81-4d74fbe61101,1944,1943,1942<sv>1943,0.0,0.0
3,45c95f84-92e4-4d83-b426-894687613da0,1683,1698,1698<sv>1698,0.0,0.0
4,a76d9d78-2e31-49d9-9562-2abc3f758943,2002,2000,2000<sv>2000<sv>2000,0.0,0.0
5,8fd1e5f3-e0dc-4996-aeb4-63f90f76e771,13 August 1563,August 1563,August<sv>August 1563,0.8,0.0
6,cca408e3-6075-430b-9e58-b820bb6aca06,13 August 1563,August 1563,August 1563<sv>August 1563<sv>August 1563,0.8,0.0
7,b44a05fc-4696-402f-a313-fb5236ac0ab6,30 May 1563,1 September 1563,August 1563<sv>4 September,0.4,0.0
8,8cbc1e9a-7f0c-4a32-8089-658398a9a1f0,1442,1438,1438<sv>1438,0.0,0.0
9,59b2070a-4027-49d5-b797-2ec7befcf2c4,1440,1452,1452<sv>1452,0.0,0.0
10,9fdfd076-2163-448e-b67d-1ad392ebfc5d,1440,1452,1452<sv>1452<sv>1552,0.0,0.0
11,1aa99f9e-5291-4e8e-9be5-8016fee01767,1675,8 August 1675,August 1675<sv>August 1675,0.67,0.0
12,79bacdf4-b669-4e2a-9be3-e73ab82a9467,1980,1955,1955<sv>1955,0.0,0.0
13,2f2a8ca0-199f-433a-a64c-d65b03c7ddd5,1980,1955,1955<sv>1955,0.0,0.0
14,e7d28a55-3aab-4313-9b65-ca20c329e166,In the next year,1277,1277<sv>1277,0.0,0.0
15,9b6d8136-2535-448c-97b2-708ebe73b75c,1276,1277,1277<sv>1277,0.0,0.0
16,167c68ad-6ecd-4915-a795-f5f91441c413,1990,2010,2010<sv>2010,0.0,0.0
17,6c6f5cbe-c01c-46f0-aad5-df16aa478aa5,1990,1981,1981<sv>1981<sv>1981<sv>1981,0.0,0.0
18,c68e2b2d-a1da-41c6-9866-7cce53b70791,1882,1874,1874<sv>1874,0.0,0.0
19,6580ed72-f11b-45b5-a890-1e8e3860afc3,1699,1606,1606<sv>1606,0.0,0.0
20,45be16ff-c43e-412b-a6f2-6439e38a12c8,1583,1593,1593<sv>1593,0.0,0.0
21,d7c261cc-b929-4a1c-81b8-55a4d5f6fdbb,1553,1525,1525<sv>1525<sv>1525,0.0,0.0
22,ff20ab78-6d2c-4238-919e-34c40b4c9194,29 September,10 October 1556,29 September 1556<sv>October 10,0.8,0.0
23,3a2cd28a-4deb-4715-9225-ab53e78d11d7,1446,1445,1477<sv>1445<sv>1445,0.0,0.0
24,dc5a38ba-47c4-4ff3-882f-0854b724928e,1418,1488,1488<sv>1488,0.0,0.0
25,686e10d5-95bd-4b50-b2a8-72dfe6439f2f,2009,2007,2007<sv>2007,0.0,0.0
26,6ca5606a-706a-4325-86f8-e6b69b0575b6,1724,1722,1729,0.0,0.0
27,d2bb1b96-b931-4e1a-ab99-092d3bd0af52,February,1897,1896<sv>1897,0.0,0.0
28,e444e95d-e3e0-47b0-a5a8-38f99430f3cc,May,June,June 1272<sv>June,0.0,0.0
29,d3af4f76-8f9e-4199-84da-6956b4443279,May,June 1272,June<sv>June 1272,0.0,0.0
30,fd2ead2e-e669-409a-9dbf-700c838d8c15,1683,1698,1698<sv>1698,0.0,0.0
31,6629ae4d-99a4-4786-a8e8-4c0d723dc231,1683,1698,1698<sv>1698,0.0,0.0
32,2d60e681-7ca9-41a2-956b-1233fde15719,2003,2002,2002<sv>2002,0.0,0.0
33,f47e8521-c8ad-42f8-b164-02c35afff6c5,31 August 2000,31 April 2000,2000<sv>2000,0.67,0.0
34,db540314-ad8e-4e87-bed8-d57ae991d26a,3 March 1606,April 1605,April 1605<sv>1605,0.0,0.0
35,72407857-72ac-480e-bc2d-0e4ce3781f10,1854,1852,1852<sv>1852,0.0,0.0
36,1aed8cf7-96a2-4c0d-af61-ff771944db22,The Siege of Nice,1542,Polin succeeding Antoine de Rincon<sv>Polin succeeding Antoine de Rincon,0.0,0.0
37,af5b5adf-ed88-45a3-bd91-902078145db0,1424,1384,1384<sv>1384,0.0,0.0
38,8593bfa1-eb03-489e-aa64-1364739265b7,1236,1234,1234<sv>1234,0.0,0.0
39,acfd906d-5098-4038-a55c-2be27af298e6,6 December 1283,3 December 1283,3 December 1283,0.67,0.0
40,1173ca51-f21e-4d5a-9092-93caf53eedd4,9 December 1283,3 December 1283,3 December 1283<sv>3 December 1283<sv>3 December 1283,0.67,0.0
41,6806f0b2-3baa-4919-ac39-b47c407bdbb5,26 January 1285,3 December 1283,3 December 1283<sv>3 December 1283,0.0,0.0
42,fe6f6f4e-7654-4574-83e7-d32f81c3af13,26 January 1285,3 December 1283,1283<sv>3 December 1283,0.0,0.0
43,e50b593b-a77a-4b67-8833-2820eb6fc314,26 January 1285,1285,that same year<sv>1285,0.5,0.0
44,1d703a46-9934-4545-b550-2416997672d1,10,7 October 1580,7 October 1580<sv>10 October 1580<sv>7 October 1580,0.5,0.0
45,41984d5e-e5bc-4731-8270-ce0b3a10f35e,1570,1579,1579<sv>1580,0.0,0.0
46,1748ad77-26e5-4a8b-9881-40b7151d99e0,1980,1983,1981<sv>1981<sv>1981,0.0,0.0
47,6cdb01b3-76f4-4d14-8911-0badd33ac25b,March 1742,February 1743,February 1743<sv>February 1743,0.0,0.0
48,1b9b6544-d73a-4150-a1b6-68a2ee20b8eb,1920,1919,1919<sv>1919,0.0,0.0
49,4f47dd36-456b-4991-b2b3-3b3208d176b2,4 October 1910,5 October 1910,5 October 1910<sv>5 October 1910,0.67,0.0
50,247acee1-f214-46d2-a33a-f55d2ff49b32,1055,1061,1061<sv>1068,0.0,0.0
51,c323389b-e07c-4235-9ce7-3c2e955397b0,1522,3 February,3 February<sv>3 February,0.0,0.0
52,72b358b9-8cae-45a2-9b5c-597ae8ad56bf,1614,1615,1615<sv>1615,0.0,0.0
53,1dd90b41-df53-40fb-9528-847a0f9474b7,1890,May 2016,1899<sv>May 2016<sv>May 2016,0.0,0.0
54,b13d08ae-53b0-47ce-ab02-954db5fd58b0,1350,1367,1367<sv>1367<sv>1367<sv>1367<sv>1367,0.0,0.0
55,0d5cfb06-b1e5-45d2-93e2-3742fcf59e80,1352,1367,1367<sv>1367,0.0,0.0
56,89eb3b39-409c-48ee-8856-c16c1f89cc40,31 August,31 August 1781,31 August 1781<sv>31 August 1781,0.8,0.0
57,f79aa0fb-2c48-4e9d-ae8a-985a28ebf63b,2004,2010,2010<sv>2010,0.0,0.0
58,cee9867a-2ed2-40fc-a2f9-aa43117ef764,1908,1904,1904<sv>1904,0.0,0.0
59,a26a97a8-8ca9-4c2c-b6e4-490d37826f09,1905 <ss> 1906 <ss> 1907,1904,1904<sv>1904,0.0,0.0
60,c035a076-35c0-440c-b39d-4951027a3cec,1906,1904,1904<sv>1904,0.0,0.0
61,75afb1a1-c59b-4b60-a7d2-2346f9f2b68a,2011,1990,1990<sv>1990,0.0,0.0
62,9a403ff7-e467-469b-a86d-d5f891bd8332,2000,1990,1990<sv>1990,0.0,0.0
63,15b6fad2-00df-41a0-b5e9-929120cfc43d,2016,2015,2015<sv>2015,0.0,0.0
64,db1dd1a9-a580-4c43-8f12-19da771715c3,2016,2015,2015<sv>2015,0.0,0.0
65,abef9d7e-48fc-4f4a-a842-707e7be221f6,2012,12000,2000<sv>12000,0.0,0.0
66,4f02227d-6f5c-4501-8cdc-54a2fab27452,2017,2016,2016<sv>2016,0.0,0.0
67,6ce9b33b-b86e-4390-8d9d-c2e6e7b353fe,1996,1982,1996-97<sv>1982,0.67,0.0
68,fa4a1714-eac7-41c7-8377-d539ce068b05,2025,2015,2015<sv>2015,0.0,0.0
69,585f56ac-5a3e-498d-b21a-1ca8eda1f456,106-94,8 November 1989,1994 November 1989<sv>8 November 1989,0.0,0.0
70,26a8d265-b7a9-4aa0-9882-0ec3fc146ba5,24 August 2005,14 August 2005,14 August 2005<sv>14 August 2005,0.67,0.0
71,60bbfb58-b839-4bce-9ea3-8c43c85e262c,2018,2017,last year<sv>2017,0.0,0.0
72,b419c1ce-abe0-4139-a83b-713cd89f54f9,31 July 1941,19 July 1941,July 1941<sv>19 July 1941,0.8,0.0
73,e4337ab8-36a3-4195-94f3-62d25300ccbb,31 July 1941,19 July 1941,19 July 1941<sv>19 July 1941,0.67,0.0
74,3c45e42f-5a1e-414c-9692-9a10f713d541,201 AD,210,210 AD<sv>210,0.0,0.0
75,703eb661-5524-4d0e-867e-882d842e974c,273,210,210<sv>210,0.0,0.0
76,a32961ce-e927-4c16-b924-b52c5a7a45c2,1995,2002,2002<sv>2002,0.0,0.0
77,4789a862-3100-406b-857a-618879434699,1995,1996,1996<sv>1996,0.0,0.0
78,5abe52c8-45fb-4e3c-97f1-ad9255c8f209,2008,1997,70000<sv>1997,0.0,0.0
79,7ad86006-5910-4fbc-99c4-ce10a2c71a6e,2011-12,2005,2005<sv>2005,0.0,0.0
80,cd055ab9-6680-4af7-94d9-35835355f08c,1580,1590,1590,0.0,0.0
81,35473529-30cf-4aaa-9aa2-4e59bc30a970,20 November 1996,27 November 1996,27 November 1996<sv>27,0.67,0.0
82,494a271f-d9cb-4861-8b65-4c9411684b5b,1996,1997,1977<sv>1997,0.0,0.0
83,8b405cec-665e-4f11-b3b4-698e6ea3b69c,1995,1980,1980<sv>1980,0.0,0.0
84,923c1673-9a62-4bef-9c45-6048d8f5ad09,1900,1950,1950<sv>1950,0.0,0.0
85,fd9f4aa9-62e0-4896-a03a-ac452679fac7,2014,2012,2012<sv>2012,0.0,0.0
